num,confd1,confd2,confd3,indvar1,indvar2,indvar3,indvar4,indvar5,indvar6,indvar7,,,,,,,,,,,
107,A,N,N,Y,Y,Y,N,Y,N,Y,,,,,,,,,,,
108,A,Y,N,Y,Y,N,N,N,Y,Y,,,,,,,,,,,
109,D,Y,Y,Y,Y,Y,N,N,Y,Y,,,,,,,,,,,
110,B,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
111,A,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
112,D,Y,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
113,A,N,Y,Y,Y,N,N,Y,N,Y,,,,,,,,,,,
114,A,N,N,Y,Y,N,N,N,Y,N,,,,,,,,,,,
115,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
116,A,N,Y,Y,Y,N,Y,Y,Y,Y,,,,,,,,,,,
117,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
118,A,Y,N,Y,Y,N,N,N,Y,Y,,,,,,,,,,,
119,A,N,Y,Y,N,Y,N,N,N,Y,,,,,,,,,,,
120,D,Y,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
121,B,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
122,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
123,A,Y,N,Y,N,Y,N,N,N,Y,,,,,,,,,,,
124,A,N,Y,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
125,A,N,N,Y,Y,N,N,Y,Y,N,,,,,,,,,,,
126,D,N,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
127,A,Y,N,Y,N,N,N,Y,N,Y,,,,,,,,,,,
128,D,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
129,B,N,N,N,Y,Y,Y,Y,N,Y,,,,,,,,,,,
130,A,N,N,Y,Y,Y,N,N,Y,Y,,,,,,,,,,,
131,A,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
132,D,Y,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
133,D,N,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,
134,D,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
135,B,Y,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
136,D,Y,N,Y,Y,N,N,Y,Y,N,,,,,,,,,,,
137,D,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
138,B,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
139,C,Y,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
140,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
141,C,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
142,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
143,C,N,N,N,Y,Y,N,Y,Y,Y,,,,,,,,,,,
144,C,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
145,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
146,C,Y,N,N,N,Y,Y,Y,N,N,,,,,,,,,,,
147,C,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
148,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
149,C,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
150,C,Y,Y,Y,Y,N,Y,Y,Y,Y,,,,,,,,,,,
151,C,N,Y,Y,N,Y,N,Y,N,Y,,,,,,,,,,,
152,B,Y,N,Y,N,Y,N,N,Y,Y,,,,,,,,,,,
153,C,N,N,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
154,B,N,Y,Y,Y,Y,N,N,Y,Y,,,,,,,,,,,
155,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
156,D,Y,N,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,
157,C,N,N,Y,Y,N,N,Y,N,Y,,,,,,,,,,,
158,D,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
159,D,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
160,C,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
161,D,N,N,Y,N,N,N,N,Y,N,,,,,,,,,,,
162,A,Y,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
163,A,Y,N,Y,N,Y,N,N,N,Y,,,,,,,,,,,
164,D,N,N,N,Y,Y,Y,Y,Y,N,,,,,,,,,,,
165,D,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
166,C,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
167,B,N,Y,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
168,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
169,D,Y,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
170,D,Y,Y,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
171,D,N,Y,Y,Y,N,N,Y,N,N,,,,,,,,,,,
172,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
